Number_entering_buses,Stop_ID,Binned_time_x,y_pred,y_prob,Score,stop_lat,stop_lon,geometry,NIMI_left,Time,index_right,NIMI_right,NIMI
6,7820011-1,2025-12-11 18:00:00,0,0.121174835,0.7270490080118179,58.37711352,26.75074771,POINT (26.75074771 58.37711352),Annelinna,18:00:00,14.0,Annelinna,
6,7820011-1,2025-12-11 20:00:00,0,0.12111117,0.7266670167446136,58.37711352,26.75074771,POINT (26.75074771 58.37711352),Annelinna,20:00:00,14.0,Annelinna,
4,7820011-1,2025-12-11 22:00:00,0,0.12111117,0.48444467782974243,58.37711352,26.75074771,POINT (26.75074771 58.37711352),Annelinna,22:00:00,14.0,Annelinna,
2,7820011-1,2025-12-12 00:00:00,0,0.12111117,0.24222233891487122,58.37711352,26.75074771,POINT (26.75074771 58.37711352),Annelinna,00:00:00,14.0,Annelinna,
16,7820012-1,2025-12-11 06:00:00,0,0.12138633,1.9421812295913696,58.37592598,26.77040002,POINT (26.77040002 58.37592598),Annelinna,06:00:00,14.0,Annelinna,
24,7820012-1,2025-12-11 08:00:00,0,0.12160877,2.9186105132102966,58.37592598,26.77040002,POINT (26.77040002 58.37592598),Annelinna,08:00:00,14.0,Annelinna,
22,7820012-1,2025-12-11 10:00:00,0,0.122091584,2.686014845967293,58.37592598,26.77040002,POINT (26.77040002 58.37592598),Annelinna,10:00:00,14.0,Annelinna,
20,7820012-1,2025-12-11 12:00:00,0,0.12702279,2.5404557585716248,58.37592598,26.77040002,POINT (26.77040002 58.37592598),Annelinna,12:00:00,14.0,Annelinna,
22,7820012-1,2025-12-11 14:00:00,1,0.13663597,3.0059914290905,58.37592598,26.77040002,POINT (26.77040002 58.37592598),Annelinna,14:00:00,14.0,Annelinna,
23,7820012-1,2025-12-11 16:00:00,0,0.12603197,2.8987351953983307,58.37592598,26.77040002,POINT (26.77040002 58.37592598),Annelinna,16:00:00,14.0,Annelinna,
24,7820012-1,2025-12-11 18:00:00,0,0.121174835,2.9081960320472717,58.37592598,26.77040002,POINT (26.77040002 58.37592598),Annelinna,18:00:00,14.0,Annelinna,
18,7820012-1,2025-12-11 20:00:00,0,0.12111117,2.180001050233841,58.37592598,26.77040002,POINT (26.77040002 58.37592598),Annelinna,20:00:00,14.0,Annelinna,
10,7820012-1,2025-12-11 22:00:00,0,0.12111117,1.211111694574356,58.37592598,26.77040002,POINT (26.77040002 58.37592598),Annelinna,22:00:00,14.0,Annelinna,
1,7820012-1,2025-12-12 00:00:00,0,0.12111117,0.12111116945743561,58.37592598,26.77040002,POINT (26.77040002 58.37592598),Annelinna,00:00:00,14.0,Annelinna,
