Stop_ID,stop_lat,stop_lon,geometry,NIMI
7820143-1,58.36998229,26.69805577,POINT (26.69805577 58.36998229),Maarjamõisa
7820210-1,58.36990365,26.68980226,POINT (26.68980226 58.36990365),Veeriku
7820344-1,58.3629794,26.67494462,POINT (26.67494462 58.3629794),Ränilinna
7820160-1,58.35498359,26.78887475,POINT (26.78887475 58.35498359),Ihaste
7820159-1,58.35601529,26.78899164,POINT (26.78899164 58.35601529),Ihaste
7820227-1,58.37609415,26.77878983,POINT (26.77878983 58.37609415),Annelinna
7820016-1,58.37849016,26.77600422,POINT (26.77600422 58.37849016),Annelinna
7820087-1,58.37166265,26.76385484,POINT (26.76385484 58.37166265),Annelinna
7820248-1,58.37746185,26.73019788,POINT (26.73019788 58.37746185),Kesklinna
7820293-1,58.37909356,26.72727211,POINT (26.72727211 58.37909356),Kesklinna
7820196-1,58.38113972,26.72480574,POINT (26.72480574 58.38113972),Kesklinna
7820352-1,58.38900626,26.70495235,POINT (26.70495235 58.38900626),Tähtvere
7820176-1,58.3836047,26.72339269,POINT (26.72339269 58.3836047),Kesklinna
7820086-1,58.37154833,26.76651811,POINT (26.76651811 58.37154833),Annelinna
7801272-1,58.36719396,26.79853701,POINT (26.79853701 58.36719396),Ihaste
7820289-1,58.37802669,26.73371568,POINT (26.73371568 58.37802669),Kesklinna
7820311-1,58.35658799,26.7943089,POINT (26.7943089 58.35658799),Ihaste
7820175-1,58.38518468,26.72287068,POINT (26.72287068 58.38518468),Kesklinna
7820269-1,58.38273082,26.68341474,POINT (26.68341474 58.38273082),Veeriku
7820347-1,58.38627464,26.71402485,POINT (26.71402485 58.38627464),Supilinna
7820249-1,58.37716844,26.73005784,POINT (26.73005784 58.37716844),Kesklinna
7820166-1,58.37275827,26.78054175,POINT (26.78054175 58.37275827),Annelinna
7800528-1,58.35976336,26.79669553,POINT (26.79669553 58.35976336),Ihaste
7820107-1,58.38509848,26.71946706,POINT (26.71946706 58.38509848),Supilinna
7820362-1,58.39093648,26.67946108,POINT (26.67946108 58.39093648),Veeriku
7820287-1,58.3862124,26.69499199,POINT (26.69499199 58.3862124),Tähtvere
7820360-1,58.38825896,26.70885743,POINT (26.70885743 58.38825896),Supilinna
7820306-1,58.37041613,26.79130535,POINT (26.79130535 58.37041613),Ihaste
7820199-1,58.37907527,26.77329165,POINT (26.77329165 58.37907527),Annelinna
7820288-1,58.38621298,26.69472782,POINT (26.69472782 58.38621298),Tähtvere
7820270-1,58.38233737,26.68369743,POINT (26.68369743 58.38233737),Veeriku
7820197-1,58.37974785,26.72576992,POINT (26.72576992 58.37974785),Kesklinna
7820082-1,58.38569594,26.68057188,POINT (26.68057188 58.38569594),Veeriku
7820017-1,58.37675489,26.77791425,POINT (26.77791425 58.37675489),Annelinna
7801271-1,58.36572273,26.79847965,POINT (26.79847965 58.36572273),Ihaste
7820348-1,58.38545524,26.68055015,POINT (26.68055015 58.38545524),Veeriku
7820041-1,58.38597247,26.71485573,POINT (26.71485573 58.38597247),Supilinna
7820361-1,58.3911417,26.68008948,POINT (26.68008948 58.3911417),Veeriku
7820350-1,58.38592912,26.71952576,POINT (26.71952576 58.38592912),Supilinna
7820310-1,58.37029067,26.79272676,POINT (26.79272676 58.37029067),Ihaste
7820328-1,58.3840735,26.7402712,POINT (26.7402712 58.3840735),Ülejõe
7820071-1,58.37700305,26.68379681,POINT (26.68379681 58.37700305),Veeriku
7820069-1,58.37677041,26.68359234,POINT (26.68359234 58.37677041),Veeriku
7820211-1,58.37308889,26.68539208,POINT (26.68539208 58.37308889),Veeriku
7820212-1,58.37272134,26.68578763,POINT (26.68578763 58.37272134),Veeriku
7820195-1,58.3823387,26.73229325,POINT (26.73229325 58.3823387),Ülejõe
7820056-1,58.3839401,26.7403782,POINT (26.7403782 58.3839401),Ülejõe
7820163-1,58.36643193,26.69527154,POINT (26.69527154 58.36643193),Maarjamõisa
7820329-1,58.38261156,26.74577777,POINT (26.74577777 58.38261156),Ülejõe
7820172-1,58.35563171,26.67391432,POINT (26.67391432 58.35563171),Ränilinna
7820281-1,58.36662066,26.69478854,POINT (26.69478854 58.36662066),Maarjamõisa
7820139-2,58.35889909,26.67292438,POINT (26.67292438 58.35889909),Ränilinna
7820305-1,58.36972984,26.69080566,POINT (26.69080566 58.36972984),Maarjamõisa
7820252-1,58.36558986,26.73448717,POINT (26.73448717 58.36558986),Karlova
7820022-1,58.35536632,26.71967153,POINT (26.71967153 58.35536632),Ropka
7820096-1,58.38407818,26.71649249,POINT (26.71649249 58.38407818),Supilinna
7820296-1,58.3772705,26.7018397,POINT (26.7018397 58.3772705),Vaksali
7820254-1,58.38057943,26.75346982,POINT (26.75346982 58.38057943),Annelinna
7820011-1,58.37711352,26.75074771,POINT (26.75074771 58.37711352),Annelinna
7820241-1,58.37662124,26.71457354,POINT (26.71457354 58.37662124),Kesklinna
7820043-1,58.38294305,26.69658842,POINT (26.69658842 58.38294305),Tähtvere
7820207-1,58.37374151,26.70719702,POINT (26.70719702 58.37374151),Vaksali
7820313-1,58.39175627,26.69223022,POINT (26.69223022 58.39175627),Tähtvere
7820275-1,58.38885283,26.69438562,POINT (26.69438562 58.38885283),Tähtvere
7820113-1,58.37595147,26.71043875,POINT (26.71043875 58.37595147),Vaksali
7820010-1,58.37807643,26.75176816,POINT (26.75176816 58.37807643),Annelinna
7820240-1,58.3765878,26.71491966,POINT (26.71491966 58.3765878),Kesklinna
7820182-1,58.37396579,26.71940893,POINT (26.71940893 58.37396579),Kesklinna
7820258-1,58.39311653,26.6873756,POINT (26.6873756 58.39311653),Tähtvere
7820260-1,58.38161617,26.70271302,POINT (26.70271302 58.38161617),Tähtvere
7820168-1,58.37888945,26.70789617,POINT (26.70789617 58.37888945),Tähtvere
7820183-1,58.37553002,26.71803519,POINT (26.71803519 58.37553002),Kesklinna
7820114-1,58.37598719,26.71031861,POINT (26.71031861 58.37598719),Vaksali
7820259-1,58.38140782,26.70354451,POINT (26.70354451 58.38140782),Tähtvere
7820167-1,58.37893419,26.70846439,POINT (26.70846439 58.37893419),Vaksali
7820084-1,58.37690955,26.72650997,POINT (26.72650997 58.37690955),Kesklinna
7820039-1,58.37677413,26.72686258,POINT (26.72686258 58.37677413),Kesklinna
7820093-1,58.38253159,26.72806885,POINT (26.72806885 58.38253159),Ülejõe
7820191-1,58.39840795,26.70984368,POINT (26.70984368 58.39840795),Raadi-Kruusamäe
7820134-1,58.36942282,26.72152375,POINT (26.72152375 58.36942282),Karlova
7820192-1,58.39872669,26.71043364,POINT (26.71043364 58.39872669),Raadi-Kruusamäe
7820133-1,58.37078404,26.72155998,POINT (26.72155998 58.37078404),Kesklinna
7820110-1,58.40109437,26.7194218,POINT (26.7194218 58.40109437),Raadi-Kruusamäe
7820301-1,58.38666842,26.72685629,POINT (26.72685629 58.38666842),Ülejõe
7820369-1,58.40016634,26.71447599,POINT (26.71447599 58.40016634),Raadi-Kruusamäe
7820302-1,58.38578652,26.72639415,POINT (26.72639415 58.38578652),Ülejõe
7820365-1,58.36182591,26.72125188,POINT (26.72125188 58.36182591),Karlova
7820351-1,58.4012616,26.72106316,POINT (26.72106316 58.4012616),Raadi-Kruusamäe
7820368-1,58.40003844,26.71427334,POINT (26.71427334 58.40003844),Raadi-Kruusamäe
7820366-1,58.36092931,26.72124144,POINT (26.72124144 58.36092931),Vaksali
7820202-1,58.36396104,26.73642701,POINT (26.73642701 58.36396104),Karlova
7820115-1,58.36657642,26.73624755,POINT (26.73624755 58.36657642),Karlova
7820231-1,58.36864837,26.73432864,POINT (26.73432864 58.36864837),Karlova
7820228-1,58.35565418,26.7272105,POINT (26.7272105 58.35565418),Ropka
7820280-1,58.3613194,26.73476473,POINT (26.73476473 58.3613194),Karlova
7820105-1,58.3856589,26.70055754,POINT (26.70055754 58.3856589),Tähtvere
7820046-1,58.38373656,26.70858394,POINT (26.70858394 58.38373656),Tähtvere
7820279-1,58.36143045,26.73392587,POINT (26.73392587 58.36143045),Karlova
7820230-1,58.35583691,26.72892056,POINT (26.72892056 58.35583691),Ropka
7820023-1,58.35511959,26.71700508,POINT (26.71700508 58.35511959),Ropka
7820121-1,58.38329654,26.71874713,POINT (26.71874713 58.38329654),Kesklinna
7820239-1,58.3687858,26.73627969,POINT (26.73627969 58.3687858),Karlova
7820263-1,58.35414165,26.69607678,POINT (26.69607678 58.35414165),Tammelinna
7820341-1,58.39652974,26.68533648,POINT (26.68533648 58.39652974),Tähtvere
7820032-1,58.35907121,26.73088987,POINT (26.73088987 58.35907121),Karlova
7820033-1,58.3584934,26.73078222,POINT (26.73078222 58.3584934),Karlova
7820074-1,58.37173569,26.73294975,POINT (26.73294975 58.37173569),Karlova
7820341-2,58.39670523,26.68515015,POINT (26.68515015 58.39670523),Tähtvere
7820144-1,58.38730604,26.69653853,POINT (26.69653853 58.38730604),Tähtvere
7820047-1,58.38350489,26.70964608,POINT (26.70964608 58.38350489),Tähtvere
7820274-1,58.38913924,26.69442947,POINT (26.69442947 58.38913924),Tähtvere
7820267-1,58.36520963,26.7404915,POINT (26.7404915 58.36520963),Karlova
7820335-1,58.3892422,26.73840283,POINT (26.73840283 58.3892422),Raadi-Kruusamäe
7801276-1,58.4035154,26.74158605,POINT (26.74158605 58.4035154),Raadi-Kruusamäe
7820214-1,58.36735879,26.74069184,POINT (26.74069184 58.36735879),Karlova
7820286-1,58.36081269,26.7403929,POINT (26.7403929 58.36081269),Karlova
7820297-1,58.34527076,26.74128384,POINT (26.74128384 58.34527076),Ropka tööstuse
7801230-1,58.40719514,26.74576886,POINT (26.74576886 58.40719514),Raadi-Kruusamäe
7820268-1,58.36406889,26.74007878,POINT (26.74007878 58.36406889),Karlova
7820236-1,58.34939038,26.74085965,POINT (26.74085965 58.34939038),Ropka tööstuse
7820334-1,58.38978666,26.73932942,POINT (26.73932942 58.38978666),Raadi-Kruusamäe
7820337-1,58.39506918,26.74116785,POINT (26.74116785 58.39506918),Raadi-Kruusamäe
7820215-1,58.36921745,26.74172752,POINT (26.74172752 58.36921745),Karlova
