Stop_ID,Pre_2019,density,NIMI
7820211-1,False,1,Veeriku
7820212-1,False,1,Veeriku
7820195-1,False,3,Ülejõe
7820056-1,False,3,Ülejõe
7820163-1,False,1,Maarjamõisa
7820329-1,False,3,Ülejõe
7820172-1,False,1,Ränilinna
7820281-1,False,1,Maarjamõisa
7820139-2,False,2,Ränilinna
7820305-1,False,5,Maarjamõisa
7820252-1,False,4,Karlova
7820022-1,False,3,Ropka
7820096-1,False,5,Supilinna
7820296-1,False,1,Vaksali
7820254-1,False,3,Annelinna
7820011-1,False,1,Annelinna
7820241-1,False,4,Kesklinna
7820043-1,False,4,Tähtvere
7820207-1,False,3,Vaksali
7820313-1,False,1,Tähtvere
7820275-1,False,4,Tähtvere
7820113-1,False,3,Vaksali
7820010-1,False,2,Annelinna
7820240-1,False,4,Kesklinna
7820182-1,False,3,Kesklinna
7820258-1,False,2,Tähtvere
7820260-1,False,1,Tähtvere
7820168-1,False,1,Tähtvere
7820183-1,False,4,Kesklinna
7820114-1,False,3,Vaksali
7820259-1,False,1,Tähtvere
7820167-1,False,1,Vaksali
7820084-1,False,11,Kesklinna
7820039-1,False,11,Kesklinna
7820093-1,False,6,Ülejõe
7820191-1,False,3,Raadi-Kruusamäe
7820134-1,False,2,Karlova
7820192-1,False,5,Raadi-Kruusamäe
7820133-1,False,2,Kesklinna
7820110-1,False,7,Raadi-Kruusamäe
7820301-1,False,3,Ülejõe
7820369-1,False,6,Raadi-Kruusamäe
7820302-1,False,4,Ülejõe
7820365-1,False,2,Karlova
7820351-1,False,5,Raadi-Kruusamäe
7820368-1,False,4,Raadi-Kruusamäe
7820366-1,False,3,Vaksali
7820202-1,False,6,Karlova
7820115-1,False,7,Karlova
7820231-1,False,2,Karlova
7820228-1,False,3,Ropka
7820280-1,False,3,Karlova
7820105-1,False,2,Tähtvere
7820046-1,False,1,Tähtvere
7820279-1,False,3,Karlova
7820230-1,False,1,Ropka
7820023-1,False,1,Ropka
7820121-1,False,6,Kesklinna
7820239-1,False,4,Karlova
7820263-1,False,1,Tammelinna
7820341-1,False,1,Tähtvere
7820032-1,False,1,Karlova
7820033-1,False,1,Karlova
7820074-1,False,1,Karlova
7820341-2,False,1,Tähtvere
7820144-1,False,5,Tähtvere
7820047-1,False,1,Tähtvere
7820274-1,False,2,Tähtvere
7820267-1,False,4,Karlova
7820335-1,False,2,Raadi-Kruusamäe
7801276-1,False,3,Raadi-Kruusamäe
7820214-1,False,4,Karlova
7820286-1,False,1,Karlova
7820297-1,False,1,Ropka tööstuse
7801230-1,False,1,Raadi-Kruusamäe
7820268-1,False,3,Karlova
7820236-1,False,1,Ropka tööstuse
7820334-1,False,1,Raadi-Kruusamäe
7820337-1,False,2,Raadi-Kruusamäe
7820215-1,False,3,Karlova
7820235-1,False,1,Ropka tööstuse
7820298-1,False,1,Ropka tööstuse
7820285-1,False,1,Karlova
7800566-1,False,2,Raadi-Kruusamäe
7801275-1,False,2,Raadi-Kruusamäe
7820358-1,False,3,Raadi-Kruusamäe
7820349-1,False,3,Raadi-Kruusamäe
7820173-1,False,6,Raadi-Kruusamäe
7820226-1,False,1,Variku
7820229-1,False,3,Variku
7820147-1,False,5,Variku
7820098-1,False,4,Variku
7820119-1,False,1,Tammelinna
7820359-1,False,1,Raadi-Kruusamäe
7820206-1,False,5,Tammelinna
7820282-1,False,1,Tammelinna
7820181-1,False,6,Raadi-Kruusamäe
7820153-1,False,1,Raadi-Kruusamäe
7820203-1,False,5,Tammelinna
7820127-1,False,2,Tammelinna
7820100-1,False,5,Variku
7820090-1,False,3,Raadi-Kruusamäe
7820058-1,False,2,Raadi-Kruusamäe
7820357-1,False,3,Raadi-Kruusamäe
7820149-1,False,5,Raadi-Kruusamäe
7820108-1,False,1,Raadi-Kruusamäe
7820193-1,False,3,Raadi-Kruusamäe
7820077-1,False,1,Karlova
7820129-1,False,1,Karlova
7820249-3,False,14,Kesklinna
7820291-1,False,4,Karlova
7820190-1,False,3,Karlova
7820345-1,False,1,Karlova
